127.0.0.1 - - [30/Aug/2024:10:58:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:09:58 +0530] "GET /sales/reminderList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:09:58 +0530] "GET /sales/login HTTP/1.1" 200 10623
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:09:58 +0530] "GET /sales/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:09:59 +0530] "GET /sales/img/favicon.ico HTTP/1.1" 404 121
127.0.0.1 - - [30/Aug/2024:11:10:08 +0530] "POST /salesCore/login HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:08 +0530] "POST /sales/login HTTP/1.1" 302 -
127.0.0.1 - - [30/Aug/2024:11:10:09 +0530] "POST /salesCore/getAllBudget HTTP/1.1" 200 2883
127.0.0.1 - - [30/Aug/2024:11:10:09 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:09 +0530] "GET /sales/dashboard HTTP/1.1" 200 45525
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:09 +0530] "GET /sales/yearBudgets HTTP/1.1" 500 129
127.0.0.1 - - [30/Aug/2024:11:10:09 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:09 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:11:10:09 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 4400
127.0.0.1 - - [30/Aug/2024:11:10:09 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:09 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:09 +0530] "GET /sales/getChartData HTTP/1.1" 200 478
127.0.0.1 - - [30/Aug/2024:11:10:12 +0530] "POST /salesCore/getAllReminders HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:12 +0530] "GET /sales/reminderList HTTP/1.1" 200 33519
127.0.0.1 - - [30/Aug/2024:11:10:12 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [30/Aug/2024:11:10:12 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:12 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:12 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:11:10:13 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:10:13 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:14 +0530] "GET /sales/set-target HTTP/1.1" 200 61481
127.0.0.1 - - [30/Aug/2024:11:10:15 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [30/Aug/2024:11:10:15 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:15 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:10:15 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:11:36:32 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:36:33 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:36:34 +0530] "GET /sales/set-target HTTP/1.1" 200 63145
127.0.0.1 - - [30/Aug/2024:11:36:35 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:36:35 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [30/Aug/2024:11:36:35 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:36:35 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:36:35 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:11:36:35 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:36:35 +0530] "GET /sales/set-target HTTP/1.1" 200 63145
127.0.0.1 - - [30/Aug/2024:11:36:39 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [30/Aug/2024:11:36:39 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:36:39 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:36:39 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:11:38:39 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:38:39 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:39 +0530] "GET /sales/set-target HTTP/1.1" 200 63282
127.0.0.1 - - [30/Aug/2024:11:38:40 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:38:40 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:40 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:11:38:40 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:40 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:11:38:40 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:40 +0530] "GET /sales/set-target HTTP/1.1" 200 63282
127.0.0.1 - - [30/Aug/2024:11:38:41 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:38:41 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [30/Aug/2024:11:38:41 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:41 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:41 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:11:38:41 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:41 +0530] "GET /sales/set-target HTTP/1.1" 200 63282
127.0.0.1 - - [30/Aug/2024:11:38:41 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [30/Aug/2024:11:38:41 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:41 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:38:41 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:11:40:05 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:40:05 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:40:05 +0530] "GET /sales/set-target HTTP/1.1" 200 61494
127.0.0.1 - - [30/Aug/2024:11:40:07 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:40:07 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:11:40:07 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:40:07 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:11:45:23 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:45:23 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:45:23 +0530] "GET /sales/set-target HTTP/1.1" 200 61573
127.0.0.1 - - [30/Aug/2024:11:45:24 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [30/Aug/2024:11:45:24 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:45:24 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:45:24 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:11:50:52 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:50:52 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:50:52 +0530] "GET /sales/set-target HTTP/1.1" 200 61556
127.0.0.1 - - [30/Aug/2024:11:50:54 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:50:54 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:11:50:54 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:50:54 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:11:57:25 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:11:57:25 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:57:26 +0530] "GET /sales/set-target HTTP/1.1" 200 61839
127.0.0.1 - - [30/Aug/2024:11:57:27 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [30/Aug/2024:11:57:27 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:11:57:27 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
